rating,usefulCount,compound,word_count,char_count,numericalCondition,numericalDrugName
9,3,0,49,282,4,166
2,12,0,22,144,5,551
6,81,0,68,429,5,499
0,23,0,44,241,6,517
1,1,0,65,357,1,20
9,30,2,72,438,1,679
8,2,0,81,445,4,424
8,7,0,47,284,1,564
8,23,2,39,287,3,509
4,2,2,67,374,4,231
9,7,0,25,145,4,474
8,1,2,69,426,4,166
8,27,2,30,200,1,20
9,25,2,71,388,5,655
9,28,2,45,245,1,4
9,41,2,2,10,5,109
6,1,0,29,205,8,412
9,13,0,69,408,5,326
9,31,0,45,295,2,140
8,3,2,85,484,4,323
9,7,0,62,353,4,323
7,29,2,54,269,4,235
0,24,0,79,481,5,645
2,0,2,64,363,4,231
4,1,2,39,200,4,280
8,37,0,52,285,8,259
1,3,0,48,286,4,391
6,25,0,41,193,9,83
6,17,0,14,87,3,577
0,44,0,40,239,5,683
7,68,2,63,423,1,605
6,175,0,65,382,5,172
8,0,0,21,123,4,424
2,4,0,63,382,4,72
7,66,2,55,270,2,259
7,8,0,44,263,4,229
8,3,2,30,171,4,227
0,9,0,38,200,4,235
9,14,2,69,386,6,38
7,36,2,40,230,0,664
8,73,2,57,331,8,599
9,11,2,37,192,3,58
0,40,0,67,438,2,259
7,37,2,70,396,9,23
9,5,2,42,243,4,229
9,70,2,45,285,5,654
9,59,2,73,424,5,552
8,10,0,34,218,4,232
3,16,0,12,68,5,683
2,14,2,21,117,6,189
0,470,0,46,242,4,323
0,2,0,48,264,4,557
9,58,0,72,405,2,477
0,3,0,62,362,4,235
2,0,2,67,384,4,323
0,11,0,3,16,9,23
9,12,0,41,221,9,334
9,15,2,47,267,8,107
6,5,0,54,274,4,54
9,2,2,3,18,4,280
7,2,2,63,417,1,92
9,69,2,67,395,9,506
7,20,2,63,369,5,326
8,48,1,51,304,5,621
8,51,2,63,370,2,309
2,21,0,45,277,2,103
9,38,0,58,381,2,427
9,4,2,34,215,4,235
9,145,0,89,482,5,109
9,84,2,29,185,2,309
8,5,2,60,300,1,564
0,9,2,54,344,4,440
9,15,2,31,207,1,397
6,1,0,58,293,4,455
8,32,0,34,182,2,668
5,15,0,32,170,4,29
9,16,2,24,140,1,605
5,35,2,55,333,6,38
8,35,2,27,136,7,452
8,5,2,63,336,4,392
2,10,0,59,330,4,673
0,4,0,35,199,4,424
8,27,2,35,183,8,468
7,28,0,35,197,0,664
0,6,0,74,433,4,297
9,50,2,6,29,9,489
0,2,0,76,440,4,399
0,16,2,63,384,6,576
0,32,0,28,166,8,202
9,44,2,19,136,5,400
8,5,2,23,137,4,424
9,42,0,20,112,8,468
9,2,0,55,343,4,613
6,8,0,68,373,4,280
0,8,0,29,157,5,134
7,25,2,68,406,6,38
0,3,0,62,386,4,613
7,7,0,21,105,8,246
9,113,2,69,403,9,490
0,4,0,49,304,4,298
8,12,2,66,360,4,399
0,6,0,75,437,4,148
6,48,2,64,349,3,191
9,73,2,8,44,3,315
1,10,0,43,238,3,0
4,1,2,46,232,4,557
7,7,0,79,467,5,104
4,5,0,35,203,5,172
7,7,0,39,198,9,489
3,17,2,26,153,9,652
9,199,2,59,353,2,259
9,8,2,50,278,4,399
9,4,0,43,234,8,481
7,27,2,22,127,9,147
1,1,0,37,259,4,229
9,182,0,75,422,0,664
9,9,0,40,255,4,297
8,23,2,43,242,7,147
0,2,1,49,278,4,424
9,91,2,68,360,9,489
0,0,0,96,552,4,440
5,16,2,32,153,1,297
9,212,0,15,67,9,23
8,6,2,39,247,4,474
9,134,2,34,192,8,466
2,28,0,46,260,2,132
8,36,2,34,212,3,445
0,5,0,53,292,4,340
6,11,1,8,51,1,197
6,2,2,26,145,4,72
9,9,2,20,105,3,315
4,1,0,48,227,9,489
8,5,0,36,169,8,468
7,4,2,49,289,4,235
3,19,2,50,293,1,197
9,6,1,43,260,4,235
0,1,2,8,44,4,129
8,0,0,42,255,4,474
9,36,2,58,347,1,564
9,121,0,73,440,5,599
9,13,2,35,172,2,220
7,73,1,49,280,4,230
9,10,2,12,63,4,565
9,1,0,58,360,4,557
9,7,2,77,421,1,290
8,57,2,65,397,5,665
7,19,2,46,273,7,506
4,4,0,65,332,4,474
9,75,2,58,292,5,249
7,9,2,61,340,4,323
8,124,2,69,415,5,109
9,30,2,74,400,6,225
3,6,0,64,356,4,404
8,0,2,17,110,4,280
8,6,0,55,308,4,671
9,80,2,9,57,5,654
9,193,2,43,227,5,668
1,25,0,34,201,4,231
1,1,0,10,54,4,235
8,30,2,78,380,9,110
9,23,2,1,6,3,309
9,13,2,69,370,7,110
9,0,2,48,285,4,280
7,29,2,67,357,4,230
0,30,2,14,83,3,445
9,61,2,2,11,2,32
7,16,2,53,295,2,140
8,5,2,63,377,4,170
8,48,2,69,416,4,323
3,4,2,18,121,4,229
0,126,0,66,414,8,202
0,4,0,68,400,4,323
1,3,2,32,175,2,140
9,11,0,53,312,4,235
7,25,0,80,474,2,477
9,12,0,66,317,4,280
1,23,0,32,213,5,654
9,1,0,27,140,4,458
8,12,2,36,182,9,147
1,11,0,70,393,4,323
4,27,0,38,203,3,509
7,7,0,63,323,4,72
8,12,2,67,364,4,166
9,1,2,51,269,4,235
8,0,2,72,376,4,323
9,24,0,69,403,8,252
7,7,2,32,168,4,687
3,2,2,65,371,1,397
2,0,0,64,381,4,170
8,19,2,17,138,8,73
7,39,2,66,377,2,220
9,24,2,2,14,2,68
3,19,2,49,276,0,69
8,0,2,34,214,4,280
9,50,2,33,200,7,350
7,2,0,40,218,4,227
9,58,2,65,428,8,469
8,4,0,36,181,4,424
8,37,2,45,276,3,539
1,0,2,35,225,8,496
6,10,2,48,266,4,235
8,8,2,37,192,4,235
8,4,2,12,67,5,134
7,21,2,68,457,5,202
9,3,2,23,125,4,229
9,88,2,20,130,5,665
9,70,2,45,262,2,309
4,11,0,46,269,3,317
6,43,0,81,420,9,83
7,6,0,72,399,4,235
9,43,0,70,425,5,127
9,64,2,87,476,9,490
0,3,0,56,339,4,323
5,3,0,78,411,5,551
5,4,2,21,130,4,454
8,54,1,8,37,2,326
8,31,0,83,430,6,82
3,1,0,49,270,4,614
9,113,2,48,250,7,506
9,25,2,33,197,4,613
8,39,2,64,374,3,549
0,16,0,49,290,4,235
8,8,2,21,118,1,20
9,30,2,62,379,9,489
9,8,2,30,185,4,232
8,5,1,6,55,8,597
9,8,2,25,145,1,215
9,14,0,63,365,1,91
0,6,0,4,34,3,317
8,152,2,30,159,9,83
8,13,2,66,384,4,613
9,3,0,21,135,4,311
6,11,2,49,267,4,231
6,9,2,27,156,1,91
8,66,0,71,384,5,683
9,85,2,47,233,0,175
9,2,2,49,291,4,440
3,1,2,58,340,4,368
9,18,2,31,197,4,232
6,1,0,64,356,4,557
0,17,0,72,434,4,232
9,0,2,22,112,4,458
8,38,0,49,312,5,551
2,0,2,68,398,4,612
7,52,2,51,309,0,49
9,12,2,67,382,1,156
9,381,0,57,338,5,683
3,23,0,77,459,2,326
9,5,2,35,220,4,54
8,12,0,4,24,2,326
8,22,0,50,305,2,645
0,3,0,21,123,4,231
9,5,0,63,310,2,476
3,5,2,35,202,4,280
9,43,0,36,185,6,509
9,66,2,51,286,3,140
9,16,2,79,405,7,334
8,14,2,28,168,4,231
9,11,0,72,384,4,474
9,4,0,70,445,4,399
3,2,0,48,239,4,455
8,28,0,82,421,5,127
8,4,0,24,166,2,603
0,5,2,46,215,1,344
0,2,0,38,230,4,214
6,16,0,20,134,5,400
0,3,0,69,376,4,231
5,11,0,66,346,4,231
0,34,0,74,423,2,348
9,24,0,69,369,4,323
4,3,2,65,373,4,399
7,12,0,67,397,4,323
8,9,0,81,388,4,565
9,22,2,53,285,9,350
0,0,0,64,342,1,232
7,0,2,32,187,4,557
8,9,0,68,421,0,21
9,15,2,20,116,7,489
9,43,2,66,365,4,323
8,107,0,28,188,5,683
9,5,2,18,96,4,235
8,63,0,26,147,2,140
7,8,2,24,121,8,308
9,7,2,45,254,4,166
9,42,0,23,122,7,83
4,6,2,30,180,4,232
5,28,2,6,40,5,645
8,73,0,54,303,7,506
8,19,0,48,239,7,83
9,6,2,63,377,4,557
9,49,2,37,199,9,350
8,33,0,49,263,7,334
7,44,0,54,398,5,127
7,96,0,76,432,3,355
8,6,2,46,232,1,215
8,5,1,28,154,5,645
0,31,2,37,190,5,172
8,59,0,20,125,2,477
9,38,2,46,234,6,509
0,9,0,75,415,4,181
1,98,0,28,187,5,665
7,19,0,12,67,8,430
7,21,2,36,235,5,499
1,20,2,11,77,4,395
0,5,2,24,138,8,179
2,4,0,64,343,4,323
9,0,0,49,275,4,424
6,35,2,17,83,8,449
9,23,2,73,408,1,96
0,11,0,79,430,4,166
4,5,0,30,159,4,614
1,6,0,46,301,4,199
0,7,0,30,207,6,684
8,117,0,75,422,5,665
2,23,0,59,359,6,627
8,32,2,50,282,7,540
8,0,2,75,393,4,323
8,15,0,4,24,8,481
2,10,0,15,93,8,10
9,12,0,59,335,8,597
4,1,2,46,289,4,424
7,0,2,27,175,4,388
6,23,0,59,308,5,153
8,12,0,52,315,2,68
2,3,0,51,264,4,495
9,124,2,9,54,6,588
6,8,2,35,192,1,138
9,12,0,69,445,8,374
0,38,0,3,15,2,275
1,2,0,71,408,4,424
0,3,0,61,403,4,233
9,6,2,69,365,3,56
8,156,0,78,373,2,177
5,19,2,75,388,8,276
9,118,0,29,152,9,83
0,11,2,17,96,9,350
5,23,0,65,374,6,354
7,3,2,47,257,4,229
8,20,0,13,58,8,10
9,8,0,61,356,4,331
6,8,2,56,294,4,456
9,21,0,70,429,5,109
7,59,0,37,235,1,197
0,0,0,39,227,4,565
4,6,0,45,222,0,55
2,2,2,70,444,1,138
9,2,0,67,344,4,227
4,20,0,17,113,0,21
9,32,0,70,439,5,654
8,51,2,21,121,6,532
2,21,2,58,253,3,549
8,159,0,38,200,1,183
0,6,0,22,135,5,195
6,9,0,22,109,4,613
3,18,2,69,372,4,235
8,11,0,62,355,4,235
0,3,1,14,83,4,229
9,72,1,58,376,7,452
7,69,2,86,436,7,506
1,14,0,15,82,5,441
0,32,0,66,413,5,662
8,13,2,48,269,4,340
0,33,0,7,48,3,680
1,4,0,50,251,4,323
1,2,2,65,341,4,229
8,8,0,69,404,5,172
8,91,2,63,310,6,225
8,0,0,24,153,4,672
9,32,2,70,377,9,489
2,27,2,40,232,0,286
9,70,2,41,237,5,153
9,30,0,2,15,5,525
2,11,0,16,96,5,134
4,8,0,77,436,4,235
9,30,2,82,428,7,110
9,1,2,70,390,4,399
6,3,2,72,374,4,671
9,76,2,53,271,5,109
8,26,2,50,295,2,275
2,7,0,69,406,4,235
8,5,0,26,161,2,172
6,3,0,75,430,4,557
5,5,0,68,451,4,672
9,24,0,50,261,7,489
8,9,0,42,203,4,368
9,18,2,41,226,4,230
8,2,0,60,314,4,71
9,3,0,3,23,3,680
0,33,0,24,138,8,625
7,17,1,2,12,8,469
9,12,0,35,222,3,509
6,7,2,61,407,4,613
9,47,0,51,323,1,574
4,6,0,75,395,4,231
9,9,2,76,426,1,215
2,27,0,70,450,3,355
0,11,0,75,411,5,109
2,7,0,71,407,4,231
9,384,0,72,442,5,476
9,24,2,68,400,2,326
0,18,0,7,40,5,357
8,55,2,63,356,2,275
8,3,0,27,144,4,148
2,19,1,9,32,6,603
9,1,2,29,167,4,280
9,36,0,58,315,1,605
1,2,0,67,397,4,199
0,19,0,67,364,4,232
0,8,2,69,399,4,166
8,44,0,71,402,8,43
0,10,0,56,311,4,323
9,8,2,10,54,4,229
9,7,2,50,302,4,340
3,2,0,36,195,4,229
7,3,2,72,371,9,489
9,3,2,29,179,4,232
7,7,2,77,417,9,489
0,15,2,16,87,4,565
8,20,0,78,453,8,11
0,38,2,14,76,3,0
8,2,2,40,222,4,280
9,18,2,73,418,4,235
7,73,2,7,35,2,603
7,1,0,54,279,9,350
9,13,2,73,422,1,232
6,0,0,75,443,4,557
9,8,0,22,122,2,499
9,79,2,62,426,3,207
2,13,0,57,365,4,368
0,4,0,42,261,4,235
9,174,2,32,176,7,452
9,48,2,28,140,8,10
9,36,2,59,311,7,350
4,64,0,33,210,2,476
8,31,1,67,389,6,603
9,33,2,27,143,9,23
7,17,2,22,113,4,356
9,9,2,20,110,6,684
9,49,0,27,140,2,208
9,58,1,4,31,3,595
8,70,2,1,9,6,603
7,2,0,68,391,4,280
0,9,0,11,59,2,32
8,49,2,82,457,9,506
7,1,2,65,357,4,323
0,11,1,18,132,7,110
7,13,2,30,167,5,202
6,2,0,52,318,4,235
7,4,2,76,396,4,231
2,6,0,69,366,4,323
8,18,0,6,37,8,599
4,8,0,76,460,2,111
8,12,0,79,392,3,539
8,4,2,44,234,4,424
9,79,2,23,166,0,49
9,4,2,69,399,4,323
3,4,2,74,373,5,662
0,8,0,47,323,4,231
3,2,0,77,413,4,424
9,72,2,81,384,8,247
0,5,0,28,194,4,280
9,18,0,12,88,8,681
7,7,2,66,372,4,323
9,20,2,58,338,9,110
0,8,0,32,146,1,18
8,34,2,74,399,5,499
9,42,2,79,492,5,499
9,0,0,49,255,4,235
9,24,0,26,141,5,599
5,17,2,30,164,4,235
0,0,0,28,155,4,199
9,36,2,37,170,6,195
0,13,2,62,337,6,588
8,18,2,45,235,1,4
9,9,0,68,393,4,557
0,20,0,3,23,3,202
2,8,0,42,249,4,229
6,11,2,57,345,4,229
8,140,0,79,415,7,452
0,8,0,34,208,2,275
3,65,0,40,200,8,246
0,7,2,36,210,4,235
9,19,2,11,53,0,69
7,22,2,50,230,1,197
9,185,0,148,959,5,425
6,0,2,60,356,1,137
5,4,2,70,412,1,232
9,0,2,28,138,4,235
8,13,2,73,419,4,200
0,13,0,59,351,4,424
0,5,2,34,227,4,302
4,0,0,71,405,4,235
9,29,2,49,294,7,23
8,18,2,7,59,2,140
9,61,2,25,158,6,255
9,6,2,24,116,8,648
8,45,2,17,80,6,38
3,7,2,46,281,6,38
6,13,2,52,334,0,69
8,30,2,50,246,1,673
9,10,0,45,253,4,567
9,5,2,34,188,4,399
0,6,2,46,265,4,231
9,6,2,48,273,4,613
0,17,0,57,328,7,83
9,42,2,74,428,1,605
4,23,0,69,431,8,381
7,21,0,72,443,5,134
9,20,0,35,207,8,381
8,8,0,39,248,4,232
0,16,2,17,95,5,202
8,6,0,61,351,4,235
8,51,0,62,372,7,540
0,8,0,45,234,1,92
8,48,2,25,150,6,400
7,210,2,78,502,5,253
5,11,2,50,288,3,549
5,0,0,16,89,4,235
8,80,0,72,397,9,350
6,2,0,49,261,4,395
3,1,2,34,206,4,424
1,0,0,52,305,4,235
7,8,0,15,76,8,10
6,3,2,30,157,9,110
8,36,2,60,329,4,232
9,302,0,183,1039,5,551
9,0,2,36,187,4,440
3,4,0,49,254,4,235
2,32,0,44,270,4,231
6,13,2,37,175,0,335
2,2,0,55,328,1,232
0,14,0,12,74,3,680
9,32,2,15,70,8,10
0,7,0,64,366,4,235
6,12,0,64,346,6,38
7,1,2,80,404,9,489
2,10,1,40,203,2,220
5,17,1,9,56,0,175
6,0,2,70,401,4,229
4,4,0,73,422,4,231
9,155,2,35,164,9,489
5,41,0,11,74,8,599
6,20,2,54,307,4,457
0,57,0,17,100,6,603
4,3,0,63,347,4,323
9,37,0,21,118,8,381
4,1,0,48,293,4,565
1,20,0,31,178,5,109
8,36,0,74,404,8,439
4,12,0,36,197,4,229
7,4,2,50,286,4,229
9,10,2,43,261,8,682
4,5,0,62,346,5,109
2,17,2,17,89,4,231
5,2,1,13,78,3,550
9,34,2,20,130,3,191
8,86,0,36,176,2,259
6,1,2,65,370,4,557
5,6,0,52,339,4,199
0,2,1,13,88,4,368
6,64,2,32,174,7,110
8,10,2,73,389,1,20
9,35,0,25,134,2,67
8,19,2,25,131,4,231
8,15,2,45,228,4,226
9,17,2,41,232,4,368
6,18,2,21,111,0,335
4,2,2,45,247,4,280
9,4,0,43,225,4,181
8,18,2,43,255,4,231
1,16,0,36,204,4,231
0,8,0,37,186,4,235
0,0,0,30,152,4,231
8,4,2,45,242,1,201
9,10,2,71,389,4,235
4,10,2,16,68,7,540
7,55,2,65,457,3,315
0,14,2,72,402,5,165
6,31,2,14,60,5,207
0,15,1,10,58,3,261
9,24,2,18,89,0,335
9,3,2,46,246,4,323
0,3,0,27,172,3,261
9,13,2,19,115,1,20
9,3,2,26,147,4,474
0,27,0,81,451,5,665
0,2,1,14,77,8,328
8,48,0,64,434,5,477
0,8,2,77,520,4,229
7,85,2,38,222,5,212
8,13,2,80,428,4,170
4,6,0,28,163,4,232
7,22,0,38,205,3,57
1,3,0,23,138,1,397
7,12,0,79,420,7,110
1,3,0,76,453,4,340
8,55,2,43,246,5,551
2,8,2,69,386,4,424
8,66,0,53,314,5,208
7,43,0,74,430,3,465
8,270,0,64,358,5,253
8,12,0,68,417,4,474
7,5,2,36,211,4,614
9,29,2,42,219,5,655
7,14,2,51,303,8,581
9,36,0,67,371,7,110
0,2,0,62,367,4,266
9,165,2,37,193,8,435
9,16,2,73,401,6,400
7,40,2,10,86,5,471
0,4,0,67,438,4,542
9,121,2,76,450,2,111
4,0,0,68,431,4,231
9,8,2,22,132,4,673
0,2,2,73,378,4,232
2,6,0,33,180,4,235
6,1,2,34,201,5,172
9,14,2,67,428,2,303
7,17,0,43,266,8,481
6,26,0,64,392,0,258
8,9,0,66,351,8,469
9,6,2,16,108,8,412
8,26,2,52,285,7,147
7,21,2,45,272,1,197
4,1,0,37,228,4,399
0,20,0,27,174,9,334
7,4,2,46,273,4,232
0,41,0,66,366,5,654
8,21,2,43,222,4,166
0,4,0,48,281,4,262
1,8,0,62,337,4,231
7,7,2,52,308,4,229
9,53,0,38,226,8,186
0,3,2,44,240,1,290
0,18,0,15,85,3,56
8,32,0,81,469,8,73
0,38,0,12,83,5,683
9,7,2,21,140,8,408
4,21,0,78,492,2,220
2,3,0,26,136,4,149
9,41,2,43,250,3,465
9,6,2,55,332,4,235
9,116,0,73,391,8,274
8,0,0,53,290,4,280
9,46,0,69,316,9,489
0,1,0,15,95,4,148
8,30,2,47,245,7,110
5,2,0,43,229,4,231
8,8,2,46,277,4,199
8,21,0,49,262,7,489
3,16,1,8,32,6,38
0,6,0,35,206,4,399
9,39,2,44,284,5,549
9,1,2,67,377,4,344
1,38,2,59,370,5,0
8,25,2,72,408,1,19
0,6,0,54,292,4,116
4,22,0,16,108,5,645
9,34,1,18,88,1,77
9,251,2,65,370,4,280
8,0,2,21,116,4,344
3,2,2,6,36,9,489
9,6,2,29,152,4,389
7,12,0,50,275,5,172
8,15,2,34,206,4,323
0,6,0,72,451,1,215
7,8,0,41,211,1,574
1,5,2,31,162,4,231
9,3,2,68,410,4,323
5,7,0,20,109,5,172
8,272,2,73,408,5,220
6,0,2,38,212,4,98
0,2,0,67,403,5,645
7,6,0,10,58,9,110
0,8,0,50,270,4,297
8,59,0,56,337,3,313
7,1,0,48,256,4,232
6,4,2,78,407,1,397
5,3,2,55,296,4,280
8,9,2,72,393,4,323
7,11,0,73,445,5,134
0,13,0,50,252,7,540
7,38,2,44,217,4,391
2,11,2,61,330,4,440
0,1,0,63,394,4,424
2,6,2,42,227,4,227
7,9,2,79,441,4,235
6,36,2,5,22,2,32
4,5,1,23,137,3,470
9,5,2,24,124,4,280
1,22,2,50,310,5,172
3,14,0,71,398,3,549
9,12,2,77,418,4,474
9,15,1,77,367,6,269
5,11,0,14,89,6,512
6,9,2,73,432,1,74
6,5,2,45,253,4,235
2,36,2,48,288,8,43
2,1,0,29,151,5,253
4,4,2,72,428,4,613
4,7,0,55,327,4,323
6,5,0,49,292,4,424
1,34,2,24,139,5,621
4,6,0,30,171,4,235
8,47,0,32,222,5,202
7,59,0,17,102,3,259
6,21,2,52,298,1,605
8,83,0,49,269,8,469
9,8,0,69,392,8,629
8,43,2,49,251,3,355
5,7,2,71,432,4,323
5,4,2,42,220,4,368
8,39,2,7,36,5,172
8,14,2,74,393,0,49
2,3,0,53,308,1,614
3,4,2,72,454,4,231
9,7,0,14,96,8,10
0,18,0,61,328,7,540
1,25,0,76,444,5,208
8,75,2,34,233,6,684
5,15,0,65,438,5,645
9,4,2,42,230,7,147
7,49,2,70,390,5,655
2,6,0,62,317,4,235
9,69,2,76,468,2,140
0,16,0,26,174,4,341
7,4,2,45,257,5,134
7,14,1,65,380,9,489
6,10,2,45,241,4,297
8,3,2,71,375,4,229
0,23,0,83,482,8,469
0,3,0,28,187,5,202
8,17,0,36,196,8,73
9,2,2,74,390,1,77
3,7,2,68,415,5,134
7,48,0,20,104,8,481
4,2,2,51,260,4,235
8,7,0,37,220,4,565
8,1,0,63,342,4,340
0,6,0,42,279,4,232
9,9,0,46,277,3,315
9,20,2,64,347,2,348
7,9,0,52,305,4,199
8,21,2,53,279,6,82
1,4,2,43,228,4,235
7,88,2,34,177,5,621
9,26,2,3,16,9,489
4,13,2,76,410,7,147
4,1,0,46,289,4,424
8,7,0,53,331,8,468
8,22,0,75,414,4,323
8,8,2,46,243,4,356
9,163,0,63,327,9,489
2,3,2,38,201,4,235
8,30,0,79,414,6,38
0,15,2,69,420,0,571
9,101,2,58,338,7,452
7,25,0,44,234,2,111
8,18,2,28,132,6,38
0,1,0,28,142,4,229
0,10,0,78,510,0,409
8,10,2,60,387,5,326
9,88,2,67,381,3,259
2,7,0,22,122,5,253
9,5,2,72,416,4,443
8,15,2,71,401,9,83
0,6,0,14,75,4,235
9,30,1,74,431,0,69
4,19,2,44,259,3,313
9,141,2,22,143,6,68
9,54,0,64,333,5,476
6,2,0,57,334,4,424
9,131,0,31,170,2,111
5,12,2,5,37,5,202
3,2,0,78,429,4,231
9,9,2,39,223,4,226
9,190,2,32,175,5,667
9,89,2,60,349,4,399
1,8,0,77,470,4,474
9,19,0,23,117,7,540
1,2,2,59,340,4,231
6,10,2,42,224,4,399
9,9,0,49,272,4,557
9,41,2,64,372,4,391
7,105,2,23,155,5,56
7,8,0,18,105,5,551
1,2,0,61,347,5,654
9,101,2,39,225,3,313
0,6,0,79,367,4,235
9,59,0,67,421,5,476
1,6,2,46,261,1,231
0,4,0,65,343,4,154
9,55,0,52,312,5,665
9,86,2,33,207,9,506
9,90,0,41,245,8,43
0,0,0,77,523,4,235
9,76,2,75,413,9,23
7,4,2,34,187,8,580
9,90,0,16,100,9,350
4,27,2,70,390,0,146
8,34,0,89,472,9,489
5,6,0,73,396,4,229
9,9,2,69,422,4,474
9,29,2,72,410,3,317
6,14,0,9,44,8,247
9,45,0,54,307,5,551
9,160,2,62,364,9,83
6,34,0,72,414,9,490
0,23,2,65,377,2,32
8,10,2,72,392,8,275
2,7,0,70,397,4,557
9,20,2,83,436,9,110
9,60,2,26,162,5,655
4,0,2,62,375,4,235
9,11,2,56,315,9,489
7,0,2,45,243,4,229
0,21,2,28,156,6,82
5,11,0,34,190,1,231
8,3,2,53,288,4,340
9,35,2,7,39,3,140
2,5,0,68,342,4,227
3,7,2,49,260,2,499
7,75,2,44,248,0,268
8,165,0,26,155,6,400
8,76,2,69,432,1,605
8,3,2,61,355,4,235
8,6,2,17,102,8,599
9,6,2,43,248,4,29
9,45,2,7,31,6,684
1,2,2,33,185,4,42
8,15,2,65,381,5,202
8,7,2,69,374,4,166
8,35,0,36,216,1,197
6,3,0,73,405,4,231
9,7,2,56,384,4,424
9,29,2,81,386,7,486
8,2,2,38,238,4,424
6,108,2,37,197,5,400
9,92,2,67,359,9,23
8,6,2,72,419,9,489
8,14,0,54,366,0,21
8,2,0,74,401,4,323
0,8,0,73,448,4,340
9,63,2,21,117,5,172
4,6,2,67,378,4,229
8,18,2,14,64,5,220
6,49,2,80,433,0,526
8,24,2,32,219,5,476
5,0,0,62,343,4,311
0,12,0,54,295,5,551
7,6,2,58,311,1,197
0,4,0,71,394,4,399
2,7,2,73,426,4,424
8,24,2,73,401,1,135
6,10,2,54,296,4,232
9,28,2,48,252,4,230
7,22,0,60,314,5,326
9,0,2,29,158,4,280
0,13,1,14,88,5,655
9,19,2,26,135,4,231
5,2,1,18,87,4,495
9,27,0,39,206,5,207
7,13,2,52,302,4,344
8,46,2,74,443,4,267
9,69,0,32,181,9,83
9,11,2,73,394,7,110
7,9,0,21,104,8,430
9,10,0,80,447,4,280
9,61,1,6,36,5,153
9,87,2,43,263,1,28
7,1,0,72,386,4,399
2,5,0,70,370,4,229
7,4,2,21,112,1,34
1,3,0,70,413,4,231
2,5,2,64,345,4,424
0,0,0,72,382,4,231
9,3,0,48,256,4,323
0,14,1,7,50,4,541
1,10,0,49,310,5,551
9,26,2,42,253,3,509
9,14,2,55,329,7,489
9,3,2,65,372,4,557
7,61,2,44,260,2,68
2,7,0,41,213,5,551
9,0,2,65,376,4,280
9,1,2,8,50,4,230
8,107,0,39,257,8,113
9,53,0,37,200,2,668
8,14,2,28,197,2,220
8,81,0,64,401,5,546
3,8,2,55,360,4,235
9,20,2,27,145,9,243
0,0,0,38,218,4,316
1,5,2,20,129,0,146
9,23,2,35,185,9,540
8,22,0,38,276,4,229
5,8,0,17,107,0,48
9,5,2,4,24,1,183
8,1,0,58,299,7,110
9,0,2,52,326,4,227
9,13,2,11,65,4,229
7,5,0,41,251,9,540
9,29,0,80,433,9,334
4,12,0,36,197,4,72
0,9,0,22,118,4,235
9,7,0,76,426,5,109
9,37,0,16,83,6,372
8,5,2,51,288,4,567
1,0,0,58,332,4,229
0,15,0,69,374,6,38
8,34,0,32,183,8,449
0,78,0,21,126,5,550
