usefulCount,compound,rating_binary,word_count,char_count,numericalCondition,numericalDrugName
3,2,1,85,484,4,323
7,0,1,62,353,4,323
29,2,1,54,269,4,235
24,0,0,79,481,5,645
0,2,0,64,363,4,231
1,2,0,39,200,4,280
37,0,1,52,285,8,259
3,0,0,48,286,4,391
25,0,1,41,193,9,83
17,0,1,14,87,3,577
44,0,0,40,239,5,683
68,2,1,63,423,1,605
175,0,1,65,382,5,172
0,0,1,21,123,4,424
4,0,0,63,382,4,72
66,2,1,55,270,2,259
8,0,1,44,263,4,229
3,2,1,30,171,4,227
9,0,0,38,200,4,235
14,2,1,69,386,6,38
36,2,1,40,230,0,664
73,2,1,57,331,8,599
11,2,1,37,192,3,58
40,0,0,67,438,2,259
37,2,1,70,396,9,23
5,2,1,42,243,4,229
70,2,1,45,285,5,654
59,2,1,73,424,5,552
10,0,1,34,218,4,232
16,0,0,12,68,5,683
14,2,0,21,117,6,189
470,0,0,46,242,4,323
2,0,0,48,264,4,557
58,0,1,72,405,2,477
3,0,0,62,362,4,235
0,2,0,67,384,4,323
11,0,0,3,16,9,23
12,0,1,41,221,9,334
15,2,1,47,267,8,107
5,0,1,54,274,4,54
2,2,1,3,18,4,280
2,2,1,63,417,1,92
69,2,1,67,395,9,506
20,2,1,63,369,5,326
48,1,1,51,304,5,621
51,2,1,63,370,2,309
21,0,0,45,277,2,103
38,0,1,58,381,2,427
4,2,1,34,215,4,235
145,0,1,89,482,5,109
84,2,1,29,185,2,309
5,2,1,60,300,1,564
9,2,0,54,344,4,440
15,2,1,31,207,1,397
1,0,1,58,293,4,455
32,0,1,34,182,2,668
15,0,1,32,170,4,29
16,2,1,24,140,1,605
35,2,1,55,333,6,38
35,2,1,27,136,7,452
5,2,1,63,336,4,392
10,0,0,59,330,4,673
4,0,0,35,199,4,424
27,2,1,35,183,8,468
28,0,1,35,197,0,664
6,0,0,74,433,4,297
50,2,1,6,29,9,489
2,0,0,76,440,4,399
16,2,0,63,384,6,576
32,0,0,28,166,8,202
44,2,1,19,136,5,400
5,2,1,23,137,4,424
42,0,1,20,112,8,468
2,0,1,55,343,4,613
8,0,1,68,373,4,280
8,0,0,29,157,5,134
25,2,1,68,406,6,38
3,0,0,62,386,4,613
7,0,1,21,105,8,246
113,2,1,69,403,9,490
4,0,0,49,304,4,298
12,2,1,66,360,4,399
6,0,0,75,437,4,148
48,2,1,64,349,3,191
73,2,1,8,44,3,315
10,0,0,43,238,3,0
1,2,0,46,232,4,557
7,0,1,79,467,5,104
5,0,0,35,203,5,172
7,0,1,39,198,9,489
17,2,0,26,153,9,652
199,2,1,59,353,2,259
8,2,1,50,278,4,399
4,0,1,43,234,8,481
27,2,1,22,127,9,147
1,0,0,37,259,4,229
182,0,1,75,422,0,664
9,0,1,40,255,4,297
23,2,1,43,242,7,147
2,1,0,49,278,4,424
91,2,1,68,360,9,489
0,0,0,96,552,4,440
16,2,1,32,153,1,297
212,0,1,15,67,9,23
6,2,1,39,247,4,474
134,2,1,34,192,8,466
28,0,0,46,260,2,132
36,2,1,34,212,3,445
5,0,0,53,292,4,340
11,1,1,8,51,1,197
2,2,1,26,145,4,72
9,2,1,20,105,3,315
1,0,0,48,227,9,489
5,0,1,36,169,8,468
4,2,1,49,289,4,235
19,2,0,50,293,1,197
6,1,1,43,260,4,235
1,2,0,8,44,4,129
0,0,1,42,255,4,474
36,2,1,58,347,1,564
121,0,1,73,440,5,599
13,2,1,35,172,2,220
73,1,1,49,280,4,230
10,2,1,12,63,4,565
1,0,1,58,360,4,557
7,2,1,77,421,1,290
57,2,1,65,397,5,665
19,2,1,46,273,7,506
4,0,0,65,332,4,474
75,2,1,58,292,5,249
9,2,1,61,340,4,323
124,2,1,69,415,5,109
30,2,1,74,400,6,225
6,0,0,64,356,4,404
0,2,1,17,110,4,280
6,0,1,55,308,4,671
80,2,1,9,57,5,654
193,2,1,43,227,5,668
25,0,0,34,201,4,231
1,0,0,10,54,4,235
30,2,1,78,380,9,110
23,2,1,1,6,3,309
13,2,1,69,370,7,110
0,2,1,48,285,4,280
29,2,1,67,357,4,230
30,2,0,14,83,3,445
61,2,1,2,11,2,32
16,2,1,53,295,2,140
5,2,1,63,377,4,170
48,2,1,69,416,4,323
4,2,0,18,121,4,229
126,0,0,66,414,8,202
4,0,0,68,400,4,323
3,2,0,32,175,2,140
11,0,1,53,312,4,235
25,0,1,80,474,2,477
12,0,1,66,317,4,280
23,0,0,32,213,5,654
1,0,1,27,140,4,458
12,2,1,36,182,9,147
11,0,0,70,393,4,323
27,0,0,38,203,3,509
7,0,1,63,323,4,72
12,2,1,67,364,4,166
1,2,1,51,269,4,235
0,2,1,72,376,4,323
24,0,1,69,403,8,252
7,2,1,32,168,4,687
2,2,0,65,371,1,397
0,0,0,64,381,4,170
19,2,1,17,138,8,73
39,2,1,66,377,2,220
24,2,1,2,14,2,68
19,2,0,49,276,0,69
0,2,1,34,214,4,280
50,2,1,33,200,7,350
2,0,1,40,218,4,227
58,2,1,65,428,8,469
4,0,1,36,181,4,424
37,2,1,45,276,3,539
0,2,0,35,225,8,496
10,2,1,48,266,4,235
8,2,1,37,192,4,235
4,2,1,12,67,5,134
21,2,1,68,457,5,202
3,2,1,23,125,4,229
88,2,1,20,130,5,665
70,2,1,45,262,2,309
11,0,0,46,269,3,317
43,0,1,81,420,9,83
6,0,1,72,399,4,235
43,0,1,70,425,5,127
64,2,1,87,476,9,490
3,0,0,56,339,4,323
3,0,1,78,411,5,551
4,2,1,21,130,4,454
54,1,1,8,37,2,326
31,0,1,83,430,6,82
1,0,0,49,270,4,614
113,2,1,48,250,7,506
25,2,1,33,197,4,613
39,2,1,64,374,3,549
16,0,0,49,290,4,235
8,2,1,21,118,1,20
30,2,1,62,379,9,489
8,2,1,30,185,4,232
5,1,1,6,55,8,597
8,2,1,25,145,1,215
14,0,1,63,365,1,91
6,0,0,4,34,3,317
152,2,1,30,159,9,83
13,2,1,66,384,4,613
3,0,1,21,135,4,311
11,2,1,49,267,4,231
9,2,1,27,156,1,91
66,0,1,71,384,5,683
85,2,1,47,233,0,175
2,2,1,49,291,4,440
1,2,0,58,340,4,368
18,2,1,31,197,4,232
1,0,1,64,356,4,557
17,0,0,72,434,4,232
0,2,1,22,112,4,458
38,0,1,49,312,5,551
0,2,0,68,398,4,612
52,2,1,51,309,0,49
12,2,1,67,382,1,156
381,0,1,57,338,5,683
23,0,0,77,459,2,326
5,2,1,35,220,4,54
12,0,1,4,24,2,326
22,0,1,50,305,2,645
3,0,0,21,123,4,231
5,0,1,63,310,2,476
5,2,0,35,202,4,280
43,0,1,36,185,6,509
66,2,1,51,286,3,140
16,2,1,79,405,7,334
14,2,1,28,168,4,231
11,0,1,72,384,4,474
4,0,1,70,445,4,399
2,0,0,48,239,4,455
28,0,1,82,421,5,127
4,0,1,24,166,2,603
5,2,0,46,215,1,344
2,0,0,38,230,4,214
16,0,1,20,134,5,400
3,0,0,69,376,4,231
11,0,1,66,346,4,231
34,0,0,74,423,2,348
24,0,1,69,369,4,323
3,2,0,65,373,4,399
12,0,1,67,397,4,323
9,0,1,81,388,4,565
22,2,1,53,285,9,350
0,0,0,64,342,1,232
0,2,1,32,187,4,557
9,0,1,68,421,0,21
15,2,1,20,116,7,489
43,2,1,66,365,4,323
107,0,1,28,188,5,683
5,2,1,18,96,4,235
63,0,1,26,147,2,140
8,2,1,24,121,8,308
7,2,1,45,254,4,166
42,0,1,23,122,7,83
6,2,0,30,180,4,232
28,2,1,6,40,5,645
73,0,1,54,303,7,506
19,0,1,48,239,7,83
6,2,1,63,377,4,557
49,2,1,37,199,9,350
33,0,1,49,263,7,334
44,0,1,54,398,5,127
96,0,1,76,432,3,355
6,2,1,46,232,1,215
5,1,1,28,154,5,645
31,2,0,37,190,5,172
59,0,1,20,125,2,477
38,2,1,46,234,6,509
9,0,0,75,415,4,181
98,0,0,28,187,5,665
19,0,1,12,67,8,430
21,2,1,36,235,5,499
20,2,0,11,77,4,395
5,2,0,24,138,8,179
4,0,0,64,343,4,323
0,0,1,49,275,4,424
35,2,1,17,83,8,449
23,2,1,73,408,1,96
11,0,0,79,430,4,166
5,0,0,30,159,4,614
6,0,0,46,301,4,199
7,0,0,30,207,6,684
117,0,1,75,422,5,665
23,0,0,59,359,6,627
32,2,1,50,282,7,540
0,2,1,75,393,4,323
15,0,1,4,24,8,481
10,0,0,15,93,8,10
12,0,1,59,335,8,597
1,2,0,46,289,4,424
0,2,1,27,175,4,388
23,0,1,59,308,5,153
12,0,1,52,315,2,68
3,0,0,51,264,4,495
124,2,1,9,54,6,588
8,2,1,35,192,1,138
12,0,1,69,445,8,374
38,0,0,3,15,2,275
2,0,0,71,408,4,424
3,0,0,61,403,4,233
6,2,1,69,365,3,56
156,0,1,78,373,2,177
19,2,1,75,388,8,276
118,0,1,29,152,9,83
11,2,0,17,96,9,350
23,0,1,65,374,6,354
3,2,1,47,257,4,229
20,0,1,13,58,8,10
8,0,1,61,356,4,331
8,2,1,56,294,4,456
21,0,1,70,429,5,109
59,0,1,37,235,1,197
0,0,0,39,227,4,565
6,0,0,45,222,0,55
2,2,0,70,444,1,138
2,0,1,67,344,4,227
20,0,0,17,113,0,21
32,0,1,70,439,5,654
51,2,1,21,121,6,532
21,2,0,58,253,3,549
159,0,1,38,200,1,183
6,0,0,22,135,5,195
9,0,1,22,109,4,613
18,2,0,69,372,4,235
11,0,1,62,355,4,235
3,1,0,14,83,4,229
72,1,1,58,376,7,452
69,2,1,86,436,7,506
14,0,0,15,82,5,441
32,0,0,66,413,5,662
13,2,1,48,269,4,340
33,0,0,7,48,3,680
4,0,0,50,251,4,323
2,2,0,65,341,4,229
8,0,1,69,404,5,172
91,2,1,63,310,6,225
0,0,1,24,153,4,672
32,2,1,70,377,9,489
27,2,0,40,232,0,286
70,2,1,41,237,5,153
30,0,1,2,15,5,525
11,0,0,16,96,5,134
8,0,0,77,436,4,235
30,2,1,82,428,7,110
1,2,1,70,390,4,399
3,2,1,72,374,4,671
76,2,1,53,271,5,109
26,2,1,50,295,2,275
7,0,0,69,406,4,235
5,0,1,26,161,2,172
3,0,1,75,430,4,557
5,0,1,68,451,4,672
24,0,1,50,261,7,489
9,0,1,42,203,4,368
18,2,1,41,226,4,230
2,0,1,60,314,4,71
3,0,1,3,23,3,680
33,0,0,24,138,8,625
17,1,1,2,12,8,469
12,0,1,35,222,3,509
7,2,1,61,407,4,613
47,0,1,51,323,1,574
6,0,0,75,395,4,231
9,2,1,76,426,1,215
27,0,0,70,450,3,355
11,0,0,75,411,5,109
7,0,0,71,407,4,231
384,0,1,72,442,5,476
24,2,1,68,400,2,326
18,0,0,7,40,5,357
55,2,1,63,356,2,275
3,0,1,27,144,4,148
19,1,0,9,32,6,603
1,2,1,29,167,4,280
36,0,1,58,315,1,605
2,0,0,67,397,4,199
19,0,0,67,364,4,232
8,2,0,69,399,4,166
44,0,1,71,402,8,43
10,0,0,56,311,4,323
8,2,1,10,54,4,229
7,2,1,50,302,4,340
2,0,0,36,195,4,229
3,2,1,72,371,9,489
3,2,1,29,179,4,232
7,2,1,77,417,9,489
15,2,0,16,87,4,565
20,0,1,78,453,8,11
38,2,0,14,76,3,0
2,2,1,40,222,4,280
18,2,1,73,418,4,235
73,2,1,7,35,2,603
1,0,1,54,279,9,350
13,2,1,73,422,1,232
0,0,1,75,443,4,557
8,0,1,22,122,2,499
79,2,1,62,426,3,207
13,0,0,57,365,4,368
4,0,0,42,261,4,235
174,2,1,32,176,7,452
48,2,1,28,140,8,10
36,2,1,59,311,7,350
64,0,0,33,210,2,476
31,1,1,67,389,6,603
33,2,1,27,143,9,23
17,2,1,22,113,4,356
9,2,1,20,110,6,684
49,0,1,27,140,2,208
58,1,1,4,31,3,595
70,2,1,1,9,6,603
2,0,1,68,391,4,280
9,0,0,11,59,2,32
49,2,1,82,457,9,506
1,2,1,65,357,4,323
11,1,0,18,132,7,110
13,2,1,30,167,5,202
2,0,1,52,318,4,235
4,2,1,76,396,4,231
6,0,0,69,366,4,323
18,0,1,6,37,8,599
8,0,0,76,460,2,111
12,0,1,79,392,3,539
4,2,1,44,234,4,424
79,2,1,23,166,0,49
4,2,1,69,399,4,323
4,2,0,74,373,5,662
8,0,0,47,323,4,231
2,0,0,77,413,4,424
72,2,1,81,384,8,247
5,0,0,28,194,4,280
18,0,1,12,88,8,681
7,2,1,66,372,4,323
20,2,1,58,338,9,110
8,0,0,32,146,1,18
34,2,1,74,399,5,499
42,2,1,79,492,5,499
0,0,1,49,255,4,235
24,0,1,26,141,5,599
17,2,1,30,164,4,235
0,0,0,28,155,4,199
36,2,1,37,170,6,195
13,2,0,62,337,6,588
18,2,1,45,235,1,4
9,0,1,68,393,4,557
20,0,0,3,23,3,202
8,0,0,42,249,4,229
11,2,1,57,345,4,229
140,0,1,79,415,7,452
8,0,0,34,208,2,275
65,0,0,40,200,8,246
7,2,0,36,210,4,235
19,2,1,11,53,0,69
22,2,1,50,230,1,197
185,0,1,148,959,5,425
0,2,1,60,356,1,137
4,2,1,70,412,1,232
0,2,1,28,138,4,235
13,2,1,73,419,4,200
13,0,0,59,351,4,424
5,2,0,34,227,4,302
0,0,0,71,405,4,235
29,2,1,49,294,7,23
18,2,1,7,59,2,140
61,2,1,25,158,6,255
6,2,1,24,116,8,648
45,2,1,17,80,6,38
7,2,0,46,281,6,38
13,2,1,52,334,0,69
30,2,1,50,246,1,673
10,0,1,45,253,4,567
5,2,1,34,188,4,399
6,2,0,46,265,4,231
6,2,1,48,273,4,613
17,0,0,57,328,7,83
42,2,1,74,428,1,605
23,0,0,69,431,8,381
21,0,1,72,443,5,134
20,0,1,35,207,8,381
8,0,1,39,248,4,232
16,2,0,17,95,5,202
6,0,1,61,351,4,235
51,0,1,62,372,7,540
8,0,0,45,234,1,92
48,2,1,25,150,6,400
210,2,1,78,502,5,253
11,2,1,50,288,3,549
0,0,1,16,89,4,235
80,0,1,72,397,9,350
2,0,1,49,261,4,395
1,2,0,34,206,4,424
0,0,0,52,305,4,235
8,0,1,15,76,8,10
3,2,1,30,157,9,110
36,2,1,60,329,4,232
302,0,1,183,1039,5,551
0,2,1,36,187,4,440
4,0,0,49,254,4,235
32,0,0,44,270,4,231
13,2,1,37,175,0,335
2,0,0,55,328,1,232
14,0,0,12,74,3,680
32,2,1,15,70,8,10
7,0,0,64,366,4,235
12,0,1,64,346,6,38
1,2,1,80,404,9,489
10,1,0,40,203,2,220
17,1,1,9,56,0,175
0,2,1,70,401,4,229
4,0,0,73,422,4,231
155,2,1,35,164,9,489
41,0,1,11,74,8,599
20,2,1,54,307,4,457
57,0,0,17,100,6,603
3,0,0,63,347,4,323
37,0,1,21,118,8,381
1,0,0,48,293,4,565
20,0,0,31,178,5,109
36,0,1,74,404,8,439
12,0,0,36,197,4,229
4,2,1,50,286,4,229
10,2,1,43,261,8,682
5,0,0,62,346,5,109
17,2,0,17,89,4,231
2,1,1,13,78,3,550
34,2,1,20,130,3,191
86,0,1,36,176,2,259
1,2,1,65,370,4,557
6,0,1,52,339,4,199
2,1,0,13,88,4,368
64,2,1,32,174,7,110
10,2,1,73,389,1,20
35,0,1,25,134,2,67
19,2,1,25,131,4,231
15,2,1,45,228,4,226
17,2,1,41,232,4,368
18,2,1,21,111,0,335
2,2,0,45,247,4,280
4,0,1,43,225,4,181
18,2,1,43,255,4,231
16,0,0,36,204,4,231
8,0,0,37,186,4,235
0,0,0,30,152,4,231
4,2,1,45,242,1,201
10,2,1,71,389,4,235
10,2,0,16,68,7,540
55,2,1,65,457,3,315
14,2,0,72,402,5,165
31,2,1,14,60,5,207
15,1,0,10,58,3,261
24,2,1,18,89,0,335
3,2,1,46,246,4,323
3,0,0,27,172,3,261
13,2,1,19,115,1,20
3,2,1,26,147,4,474
27,0,0,81,451,5,665
2,1,0,14,77,8,328
48,0,1,64,434,5,477
8,2,0,77,520,4,229
85,2,1,38,222,5,212
13,2,1,80,428,4,170
6,0,0,28,163,4,232
22,0,1,38,205,3,57
3,0,0,23,138,1,397
12,0,1,79,420,7,110
3,0,0,76,453,4,340
55,2,1,43,246,5,551
8,2,0,69,386,4,424
66,0,1,53,314,5,208
43,0,1,74,430,3,465
270,0,1,64,358,5,253
12,0,1,68,417,4,474
5,2,1,36,211,4,614
29,2,1,42,219,5,655
14,2,1,51,303,8,581
36,0,1,67,371,7,110
2,0,0,62,367,4,266
165,2,1,37,193,8,435
16,2,1,73,401,6,400
40,2,1,10,86,5,471
4,0,0,67,438,4,542
121,2,1,76,450,2,111
0,0,0,68,431,4,231
8,2,1,22,132,4,673
2,2,0,73,378,4,232
6,0,0,33,180,4,235
1,2,1,34,201,5,172
14,2,1,67,428,2,303
17,0,1,43,266,8,481
26,0,1,64,392,0,258
9,0,1,66,351,8,469
6,2,1,16,108,8,412
26,2,1,52,285,7,147
21,2,1,45,272,1,197
1,0,0,37,228,4,399
20,0,0,27,174,9,334
4,2,1,46,273,4,232
41,0,0,66,366,5,654
21,2,1,43,222,4,166
4,0,0,48,281,4,262
8,0,0,62,337,4,231
7,2,1,52,308,4,229
53,0,1,38,226,8,186
3,2,0,44,240,1,290
18,0,0,15,85,3,56
32,0,1,81,469,8,73
38,0,0,12,83,5,683
7,2,1,21,140,8,408
21,0,0,78,492,2,220
3,0,0,26,136,4,149
41,2,1,43,250,3,465
6,2,1,55,332,4,235
116,0,1,73,391,8,274
0,0,1,53,290,4,280
46,0,1,69,316,9,489
1,0,0,15,95,4,148
30,2,1,47,245,7,110
2,0,1,43,229,4,231
8,2,1,46,277,4,199
21,0,1,49,262,7,489
16,1,0,8,32,6,38
6,0,0,35,206,4,399
39,2,1,44,284,5,549
1,2,1,67,377,4,344
38,2,0,59,370,5,0
25,2,1,72,408,1,19
6,0,0,54,292,4,116
22,0,0,16,108,5,645
34,1,1,18,88,1,77
251,2,1,65,370,4,280
0,2,1,21,116,4,344
2,2,0,6,36,9,489
6,2,1,29,152,4,389
12,0,1,50,275,5,172
15,2,1,34,206,4,323
6,0,0,72,451,1,215
8,0,1,41,211,1,574
5,2,0,31,162,4,231
3,2,1,68,410,4,323
7,0,1,20,109,5,172
272,2,1,73,408,5,220
0,2,1,38,212,4,98
2,0,0,67,403,5,645
6,0,1,10,58,9,110
8,0,0,50,270,4,297
59,0,1,56,337,3,313
1,0,1,48,256,4,232
4,2,1,78,407,1,397
3,2,1,55,296,4,280
9,2,1,72,393,4,323
11,0,1,73,445,5,134
13,0,0,50,252,7,540
38,2,1,44,217,4,391
11,2,0,61,330,4,440
1,0,0,63,394,4,424
6,2,0,42,227,4,227
9,2,1,79,441,4,235
36,2,1,5,22,2,32
5,1,0,23,137,3,470
5,2,1,24,124,4,280
22,2,0,50,310,5,172
14,0,0,71,398,3,549
12,2,1,77,418,4,474
15,1,1,77,367,6,269
11,0,1,14,89,6,512
9,2,1,73,432,1,74
5,2,1,45,253,4,235
36,2,0,48,288,8,43
1,0,0,29,151,5,253
4,2,0,72,428,4,613
7,0,0,55,327,4,323
5,0,1,49,292,4,424
34,2,0,24,139,5,621
6,0,0,30,171,4,235
47,0,1,32,222,5,202
59,0,1,17,102,3,259
21,2,1,52,298,1,605
83,0,1,49,269,8,469
8,0,1,69,392,8,629
43,2,1,49,251,3,355
7,2,1,71,432,4,323
4,2,1,42,220,4,368
39,2,1,7,36,5,172
14,2,1,74,393,0,49
3,0,0,53,308,1,614
4,2,0,72,454,4,231
7,0,1,14,96,8,10
18,0,0,61,328,7,540
25,0,0,76,444,5,208
75,2,1,34,233,6,684
15,0,1,65,438,5,645
4,2,1,42,230,7,147
49,2,1,70,390,5,655
6,0,0,62,317,4,235
69,2,1,76,468,2,140
16,0,0,26,174,4,341
4,2,1,45,257,5,134
14,1,1,65,380,9,489
10,2,1,45,241,4,297
3,2,1,71,375,4,229
23,0,0,83,482,8,469
3,0,0,28,187,5,202
17,0,1,36,196,8,73
2,2,1,74,390,1,77
7,2,0,68,415,5,134
48,0,1,20,104,8,481
2,2,0,51,260,4,235
7,0,1,37,220,4,565
1,0,1,63,342,4,340
6,0,0,42,279,4,232
9,0,1,46,277,3,315
20,2,1,64,347,2,348
9,0,1,52,305,4,199
21,2,1,53,279,6,82
4,2,0,43,228,4,235
88,2,1,34,177,5,621
26,2,1,3,16,9,489
13,2,0,76,410,7,147
1,0,0,46,289,4,424
7,0,1,53,331,8,468
22,0,1,75,414,4,323
8,2,1,46,243,4,356
163,0,1,63,327,9,489
3,2,0,38,201,4,235
30,0,1,79,414,6,38
15,2,0,69,420,0,571
101,2,1,58,338,7,452
25,0,1,44,234,2,111
18,2,1,28,132,6,38
1,0,0,28,142,4,229
10,0,0,78,510,0,409
10,2,1,60,387,5,326
88,2,1,67,381,3,259
7,0,0,22,122,5,253
5,2,1,72,416,4,443
15,2,1,71,401,9,83
6,0,0,14,75,4,235
30,1,1,74,431,0,69
19,2,0,44,259,3,313
141,2,1,22,143,6,68
54,0,1,64,333,5,476
2,0,1,57,334,4,424
131,0,1,31,170,2,111
12,2,1,5,37,5,202
2,0,0,78,429,4,231
9,2,1,39,223,4,226
190,2,1,32,175,5,667
89,2,1,60,349,4,399
8,0,0,77,470,4,474
19,0,1,23,117,7,540
2,2,0,59,340,4,231
10,2,1,42,224,4,399
9,0,1,49,272,4,557
41,2,1,64,372,4,391
105,2,1,23,155,5,56
8,0,1,18,105,5,551
2,0,0,61,347,5,654
101,2,1,39,225,3,313
6,0,0,79,367,4,235
59,0,1,67,421,5,476
6,2,0,46,261,1,231
4,0,0,65,343,4,154
55,0,1,52,312,5,665
86,2,1,33,207,9,506
90,0,1,41,245,8,43
0,0,0,77,523,4,235
76,2,1,75,413,9,23
4,2,1,34,187,8,580
90,0,1,16,100,9,350
27,2,0,70,390,0,146
34,0,1,89,472,9,489
6,0,1,73,396,4,229
9,2,1,69,422,4,474
29,2,1,72,410,3,317
14,0,1,9,44,8,247
45,0,1,54,307,5,551
160,2,1,62,364,9,83
34,0,1,72,414,9,490
23,2,0,65,377,2,32
10,2,1,72,392,8,275
7,0,0,70,397,4,557
20,2,1,83,436,9,110
60,2,1,26,162,5,655
0,2,0,62,375,4,235
11,2,1,56,315,9,489
0,2,1,45,243,4,229
21,2,0,28,156,6,82
11,0,1,34,190,1,231
3,2,1,53,288,4,340
35,2,1,7,39,3,140
5,0,0,68,342,4,227
7,2,0,49,260,2,499
75,2,1,44,248,0,268
165,0,1,26,155,6,400
76,2,1,69,432,1,605
3,2,1,61,355,4,235
6,2,1,17,102,8,599
6,2,1,43,248,4,29
45,2,1,7,31,6,684
2,2,0,33,185,4,42
15,2,1,65,381,5,202
7,2,1,69,374,4,166
35,0,1,36,216,1,197
3,0,1,73,405,4,231
7,2,1,56,384,4,424
29,2,1,81,386,7,486
2,2,1,38,238,4,424
108,2,1,37,197,5,400
92,2,1,67,359,9,23
6,2,1,72,419,9,489
14,0,1,54,366,0,21
2,0,1,74,401,4,323
8,0,0,73,448,4,340
63,2,1,21,117,5,172
6,2,0,67,378,4,229
18,2,1,14,64,5,220
49,2,1,80,433,0,526
24,2,1,32,219,5,476
0,0,1,62,343,4,311
12,0,0,54,295,5,551
6,2,1,58,311,1,197
4,0,0,71,394,4,399
7,2,0,73,426,4,424
24,2,1,73,401,1,135
10,2,1,54,296,4,232
28,2,1,48,252,4,230
22,0,1,60,314,5,326
0,2,1,29,158,4,280
13,1,0,14,88,5,655
19,2,1,26,135,4,231
2,1,1,18,87,4,495
27,0,1,39,206,5,207
13,2,1,52,302,4,344
46,2,1,74,443,4,267
69,0,1,32,181,9,83
11,2,1,73,394,7,110
9,0,1,21,104,8,430
10,0,1,80,447,4,280
61,1,1,6,36,5,153
87,2,1,43,263,1,28
1,0,1,72,386,4,399
5,0,0,70,370,4,229
4,2,1,21,112,1,34
3,0,0,70,413,4,231
5,2,0,64,345,4,424
0,0,0,72,382,4,231
3,0,1,48,256,4,323
14,1,0,7,50,4,541
10,0,0,49,310,5,551
26,2,1,42,253,3,509
14,2,1,55,329,7,489
3,2,1,65,372,4,557
61,2,1,44,260,2,68
7,0,0,41,213,5,551
0,2,1,65,376,4,280
1,2,1,8,50,4,230
107,0,1,39,257,8,113
53,0,1,37,200,2,668
14,2,1,28,197,2,220
81,0,1,64,401,5,546
8,2,0,55,360,4,235
20,2,1,27,145,9,243
0,0,0,38,218,4,316
5,2,0,20,129,0,146
23,2,1,35,185,9,540
22,0,1,38,276,4,229
8,0,1,17,107,0,48
5,2,1,4,24,1,183
1,0,1,58,299,7,110
0,2,1,52,326,4,227
13,2,1,11,65,4,229
5,0,1,41,251,9,540
29,0,1,80,433,9,334
12,0,0,36,197,4,72
9,0,0,22,118,4,235
7,0,1,76,426,5,109
37,0,1,16,83,6,372
5,2,1,51,288,4,567
0,0,0,58,332,4,229
15,0,0,69,374,6,38
34,0,1,32,183,8,449
78,0,0,21,126,5,550
